kew_internal_concept_db,kew_internal_concept_id,kingdom,phylum,h_class,h_order,family,genus,species,infraspecific_type,infraspecific_description,author,taxonomic_status,med_ref_count,med_ref_count_for_synonyms,confidence_level,unii,kew_internal_species_concept_identifier,kew_internal_name_identifier
wcs,108916,Plantae,Angiospermae,monocots,Arecales,Arecaceae,Latania,verschaffeltii,,,Lem.,Accepted,1,0,H,,,667787-1
wcs,108971,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lavandula,angustifolia,,,Mill.,Accepted,22,0,H,51217XIL5L,,449008-1
wcs,108972,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lavandula,angustifolia,subsp.,angustifolia,,Accepted,0,5,H,,108971,
wcs,108975,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lavandula,angustifolia,subsp.,pyrenaica,(DC.) Guinea,Accepted,1,0,H,,108971,883897-1
wcs,108984,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lavandula,bipinnata,,,(Roth) Kuntze,Accepted,1,0,H,,,449017-1
wcs,109005,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lavandula,dentata,,,L.,Accepted,4,0,H,ISP4E5T96U,,449031-1
wcs,109030,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lavandula,× intermedia,,,Emeric ex Loisel.,Accepted,7,0,H,9Q3NSN290F,,449048-1
wcs,109033,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lavandula,latifolia,,,Medik.,Accepted,10,1,H,45396ETX3Y,,
wcs,109059,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lavandula,pedunculata,,,(Mill.) Cav.,Accepted,1,0,H,,,449070-1
wcs,109073,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lavandula,pubescens,,,Decne.,Accepted,1,0,H,,,449077-1
wcs,109094,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lavandula,stoechas,,,L.,Accepted,6,0,H,MTZ2ZA34ZV,,449089-1
wcs,109115,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lavandula,viridis,,,L'Hér.,Accepted,1,0,H,,,449098-1
wcs,109276,Plantae,Angiospermae,monocots,Alismatales,Araceae,Lemna,aequinoctialis,,,Welw.,Accepted,0,2,H,,,
wcs,109308,Plantae,Angiospermae,monocots,Alismatales,Araceae,Lemna,minor,,,L.,Accepted,7,0,H,621HHM46SV,,526194-1
wcs,109339,Plantae,Angiospermae,monocots,Alismatales,Araceae,Lemna,trisulca,,,L.,Accepted,1,0,H,,,526223-1
wcs,109449,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonotis,leonurus,,,(L.) R.Br.,Accepted,5,0,H,579H5O18TX,,449133-1
